participant_id	date	age	gender	handedness	corrected_to_normal_vision
sub-01	12/03/2020	20	F	R	N
sub-02	18/03/2020	25	M	R	C
sub-03	14/09/2020	20	M	R	C
sub-04	05/11/2020	20	F	R	C
sub-05	11/11/2020	18	F	R	N
sub-06	14/09/2020	19	F	R	N
sub-07	16/09/2020	19	M	R	N
sub-08	16/09/2020	19	M	R	C
sub-09	17/09/2020	19	F	R	N
sub-10	17/09/2020	19	F	R	C
sub-11	22/09/2020	19	F	R	N
sub-12	24/09/2020	19	F	R	N
sub-13	23/09/2020	18	F	R	C
sub-14	24/09/2020	18	M	R	N
sub-15	06/10/2020	19	F	R	C
sub-16	07/10/2020	19	F	R	N
sub-17	07/10/2020	19	M	R	N
sub-18	08/10/2020	22	M	R	C
sub-19	08/10/2020	18	F	R	N
sub-20	08/10/2020	18	M	R	N
sub-21	12/10/2020	26	F	R	N
sub-22	13/10/2020	20	M	L	N
sub-23	15/10/2020	18	F	R	N
sub-24	19/10/2020	19	F	R	N
