participant_id	age	sex	hand
sub-01	28	n/a	n/a
sub-02	29	n/a	n/a
sub-03	34	n/a	n/a
sub-04	23	n/a	n/a
sub-05	26	n/a	n/a
sub-06	26	n/a	n/a
sub-07	24	n/a	n/a
sub-08	22	n/a	n/a
sub-09	31	n/a	n/a
sub-10	25	n/a	n/a
sub-11	24	n/a	n/a
sub-12	22	n/a	n/a
sub-13	24	n/a	n/a
sub-14	24	n/a	n/a
sub-15	28	n/a	n/a
sub-16	31	n/a	n/a
sub-17	22	n/a	n/a
sub-18	27	n/a	n/a
sub-19	28	n/a	n/a
sub-20	58	n/a	n/a
sub-21	24	n/a	n/a
sub-22	22	n/a	n/a
sub-23	27	n/a	n/a
sub-24	25	n/a	n/a
sub-25	24	n/a	n/a
sub-26	23	n/a	n/a
sub-27	22	n/a	n/a
sub-28	24	n/a	n/a
sub-29	24	n/a	n/a
sub-30	22	n/a	n/a
