participant_id	age	sex	hand
sub-001	n/a	w	n/a
sub-002	n/a	w	n/a
sub-003	n/a	m	n/a
sub-004	n/a	w	n/a
sub-005	n/a	w	n/a
sub-006	n/a	m	n/a
sub-007	n/a	m	n/a
sub-008	n/a	w	n/a
sub-009	n/a	w	n/a
sub-010	n/a	m	n/a
sub-011	n/a	m	n/a
sub-012	n/a	m	n/a
sub-013	n/a	m	n/a
sub-014	n/a	m	n/a
sub-015	n/a	w	n/a
sub-016	n/a	w	n/a
sub-017	n/a	w	n/a
sub-018	n/a	w	n/a
sub-019	n/a	w	n/a
sub-020	n/a	w	n/a
sub-021	n/a	w	n/a
sub-022	n/a	w	n/a
sub-023	n/a	w	n/a
sub-100	23	m	r
sub-101	31	m	r
sub-102	23	m	r
sub-103	24	w	r
sub-104	24	m	r
sub-105	21	m	r
sub-106	24	m	l
sub-107	24	w	r
sub-108	25	m	r
sub-109	24	w	r
sub-110	22	m	r
sub-111	24	m	r
sub-112	23	m	r
sub-113	24	w	r
sub-114	25	w	r
sub-115	27	m	r
sub-116	23	w	r
sub-117	22	w	r
sub-118	22	w	r
sub-119	25	w	r
sub-120	27	w	r
sub-121	27	w	r
sub-122	27	w	l
sub-123	23	w	l
sub-124	25	w	r
sub-125	28	m	r
sub-126	23	m	r
sub-127	20	w	r
sub-128	26	m	r
sub-129	25	m	r
